"DEVS","DEVS GROUP SRL","1-2015","","","","","","","","","","","","","","","","","","","","","","",""
"DEVSOFT SRL.","Developer Software SRL","1-2016","","","","","","","","","","","","","","","","","","","","","","",""
"DevSol.SRL","DevSol.SRL","2-2017","","","","","","","","","","","","","","","","","","","","","","",""
"DevSZ","Development Software Z","2-2020","PR","","","","","","","","","","","","","","","","","","","","","",""
"DFS SRL","Desarrollo de Fuertes Soluciones S.R.L.","2-2020","LB","","","","","","","","","","","","","","","","","","","","","",""
"DICOSOFT","diseño y consultoria de software","","","","","","","","","","","","","","","","","","","","","","","",""
"Digital City","Digital City S.R.L.","2-2020","LB","","","","","","","","","","","","","","","","","","","","","",""
"DIGITAL SYSTEMS","","1-2011","","","","","","","","","","","","","","","","","","","","","","",""
"DigitalSoft","DigitalSoft SA","","","","","","","","","","","","","","","","","","","","","","","",""
"Dim_soft","Dim_soft","","","","","","","","","","","","","","","","","","","","","","","",""
"Dinasoft","","1-2012","","","","","","","","","","","","","","","","","","","","","","",""
"Dios","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIS","DIS","","","","","","","","","","","","","","","","","","","","","","","",""
"DiverNet","DiverNert","","","","","","","","","","","","","","","","","","","","","","","",""
"DKS","DKS","1-2011","","","","","","","","","","","","","","","","","","","","","","",""
"DOMINOSOFT SRL","DOMINOSOFT SRL","","","","","","","","","","","","","","","","","","","","","","","",""
"Dotpoint Soft.Srl","","2-2012","","","","","","","","","","","","","","","","","","","","","","",""
"Dows","","1-2009","","","","","","","","","","","","","","","","","","","","","","",""
"Drakko","Drakko srl","","","","","","","","","","","","","","","","","","","","","","","",""
"Dreams SRL","Dreams SRL","","","","","","","","","","","","","","","","","","","","","","","",""
"Drsif","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","Digital Strategies","2-2020","PR","","","","","","","","","","","","","","","","","","","","","",""
"DSA","DSA","","","","","","","","","","","","","","","","","","","","","","","",""
"DSAN","","","","","","","","","","","","","","","","","","","","","","","","",""
"DSI","DSI","","","","","","","","","","","","","","","","","","","","","","","",""
"Dsisoft","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dsp","","","","","","","","","","","","","","","","","","","","","","","","",""
